label_id	filename	DMVs	Virions	DMS	connectors	zER	Fused DMVs	Peroxisomes	Golgi	ERGIC	ER	Mitochondria	MVB/Lys	Lamellar Bodies	Lipid droplets	autophagosomes	Glycogen clusters	Nucleus	PM	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z
1.0	lm0004_1	1	1	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	1.5642319999999998	1.5642320000000005	0.15112600000000034	0.0	0.0	0.021812	3.128464	3.128464	0.28044
2.0	lm0005_1	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	0	0	4.9170479999999905	1.564232	0.15112600000000034	3.352816	0.0	0.012464	6.481280000000001	3.128464	0.28978800000000005
3.0	lm0005_2	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	8.269863999999988	1.564232	0.15112600000000004	6.7056320000000005	0.0	0.0062320000000000006	9.834096	3.128464	0.29602
4.0	lm0006_1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	0	0	11.622680000000004	1.5642320000000005	0.1511260000000001	10.058448	0.0	0.012464	13.186912	3.128464	0.28978800000000005
5.0	lm0007_1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	14.975496	1.564232	0.1511260000000001	13.411264	0.0	0.0062320000000000006	16.539728	3.128464	0.29602
6.0	lm0009_1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	18.328312	1.5642320000000005	0.15112599999999998	16.76408	0.0	0.0	19.892544	3.128464	0.302252
7.0	lm0011_1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	0	21.681128	1.5642320000000007	0.1511260000000001	20.116896	0.0	0.015580000000000004	23.24536	3.128464	0.28667200000000004
8.0	lm0014_1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	25.033944	1.5642320000000005	0.15112600000000004	23.469712	0.0	0.0062320000000000006	26.598176	3.128464	0.29602
9.0	lm0026_1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	28.38676000000001	1.564232	0.1511260000000003	26.822528	0.0	0.012464	29.950992000000006	3.128464	0.28978800000000005
10.0	lm0033_1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	31.739576000000003	1.5642320000000005	0.15112600000000018	30.175344000000006	0.0	0.012464	33.303808000000004	3.128464	0.28978800000000005
11.0	lm0033_2	1	1	0	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1.564232	4.917048000000009	0.15112600000000034	0.0	3.352816	0.012464	3.128464	6.481280000000001	0.28978800000000005
12.0	lm0041_1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	4.917047999999996	4.9170479999999985	0.15112599999999993	3.352816	3.352816	0.021812	6.481280000000001	6.481280000000001	0.28044
13.0	lm0060_1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	8.269863999999991	4.917048000000007	0.15112599999999993	6.7056320000000005	3.352816	0.0062320000000000006	9.834096	6.481280000000001	0.29602
14.0	lm0061_1	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	11.622680000000004	4.917048000000009	0.151126	10.058448	3.352816	0.015580000000000004	13.186912	6.481280000000001	0.28667200000000004
